model,ratio,class,f1_delta_mean,f1_delta_std,recall_delta_mean,recall_delta_std,f1_aug_mean,f1_aug_std
CTGAN,1,bot,0.0499,0.0406,-0.0027,0.0033,0.7179,0.0156
CTGAN,1,brute_force,0.021,0.0088,0.0207,0.0153,0.7421,0.0051
CTGAN,1,xss,0.0221,0.0201,-0.0528,0.0251,0.4512,0.0128
CTGAN,3,bot,0.078,0.0452,-0.005,0.0052,0.746,0.0251
CTGAN,3,brute_force,0.0226,0.0067,0.0085,0.0147,0.7437,0.0045
CTGAN,3,xss,0.0388,0.0052,-0.0213,0.0283,0.4679,0.0127
CTGAN,5,bot,0.085,0.0362,-0.0074,0.0044,0.7531,0.0109
CTGAN,5,brute_force,0.0257,0.0138,0.0085,0.0172,0.7468,0.0073
CTGAN,5,xss,0.0472,0.0179,-0.0083,0.0277,0.4763,0.0079
Drifting,1,bot,0.0257,0.0395,-0.0017,0.0031,0.6937,0.0351
Drifting,1,brute_force,0.0144,0.0074,0.0031,0.0089,0.7355,0.0037
Drifting,1,xss,0.0295,0.0222,-0.0139,0.0348,0.4587,0.0189
Drifting,3,bot,0.0513,0.0309,-0.0047,0.0014,0.7193,0.018
Drifting,3,brute_force,0.0114,0.0171,-0.0157,0.025,0.7325,0.0101
Drifting,3,xss,0.0659,0.0179,0.0194,0.0192,0.4951,0.0114
Drifting,5,bot,0.092,0.0355,-0.0087,0.0022,0.76,0.0111
Drifting,5,brute_force,0.0133,0.0108,-0.0153,0.0136,0.7344,0.006
Drifting,5,xss,0.0672,0.0176,0.0204,0.0332,0.4963,0.0121
TabDDPM,1,bot,0.0212,0.0496,-0.0034,0.0027,0.6892,0.0171
TabDDPM,1,brute_force,0.0176,0.0069,0.0364,0.0152,0.7387,0.009
TabDDPM,1,xss,-0.0037,0.0172,-0.0926,0.0351,0.4255,0.0161
TabDDPM,3,bot,0.0472,0.0396,-0.0047,0.0043,0.7153,0.019
TabDDPM,3,brute_force,0.0181,0.0103,0.036,0.0099,0.7392,0.0032
TabDDPM,3,xss,-0.0051,0.0168,-0.0935,0.0223,0.4241,0.0183
TabDDPM,5,bot,0.0643,0.0358,-0.0057,0.0035,0.7324,0.0249
TabDDPM,5,brute_force,0.0218,0.0085,0.0328,0.0211,0.7429,0.0074
TabDDPM,5,xss,0.0006,0.016,-0.0833,0.0326,0.4298,0.0086
